iter	RMSE
0	24.72891874
1	24.03791803
2	23.37312495
3	22.72978911
4	22.10329536
5	21.50810678
6	20.9150694
7	20.33765623
8	19.78682424
9	19.24917086
10	18.72782947
11	18.2232643
12	17.73501084
13	17.25808079
14	16.79545056
15	16.34453604
16	15.92352914
17	15.51028795
18	15.11013855
19	14.71021772
20	14.32818534
21	13.96467593
22	13.62829501
23	13.28993387
24	12.94694789
25	12.62892151
26	12.32729141
27	12.02042116
28	11.72085237
29	11.43404758
30	11.16575245
31	10.89974768
32	10.63767646
33	10.39499083
34	10.14781865
35	9.924241204
36	9.69525833
37	9.471831256
38	9.260653096
39	9.058061522
40	8.86210086
41	8.671416363
42	8.480720508
43	8.299156058
44	8.128883282
45	7.966992471
46	7.801936579
47	7.65109989
48	7.501669293
49	7.363213824
50	7.228163428
51	7.094089569
52	6.964664621
53	6.838676392
54	6.725065341
55	6.604752645
56	6.493973852
57	6.388910017
58	6.287773824
59	6.181989136
60	6.096214944
61	6.004189855
62	5.91864441
63	5.843010086
64	5.768955916
65	5.684403382
66	5.617607698
67	5.5353527
68	5.464310696
69	5.400339211
70	5.342828259
71	5.271827375
72	5.203643778
73	5.142479266
74	5.084704306
75	5.025160667
76	4.978787018
77	4.926375246
78	4.872268959
79	4.82023171
80	4.766432898
81	4.725237219
82	4.67757291
83	4.637244765
84	4.596527492
85	4.55159118
86	4.516418552
87	4.466638225
88	4.425881187
89	4.392476713
90	4.366959129
91	4.335247105
92	4.301052653
93	4.264900236
94	4.235988665
95	4.203931467
96	4.177137697
97	4.141022197
98	4.122166422
99	4.090854073
100	4.064688639
101	4.040366133
102	4.023553413
103	4.000334845
104	3.978660078
105	3.952548443
106	3.933560008
107	3.899062982
108	3.882464199
109	3.864101911
110	3.841487697
111	3.823871985
112	3.80868126
113	3.793174235
114	3.777419993
115	3.763516626
116	3.74732228
117	3.720418692
118	3.709468745
119	3.694110251
120	3.679547537
121	3.668218452
122	3.65279117
123	3.630452093
124	3.615903816
125	3.596833829
126	3.577782885
127	3.562663552
128	3.53719911
129	3.523844055
130	3.514152322
131	3.491784037
132	3.478283937
133	3.468998046
134	3.459124893
135	3.451396987
136	3.433292848
137	3.413283713
138	3.402488884
139	3.395841847
140	3.380682915
141	3.369743252
142	3.349176059
143	3.333425775
144	3.323749972
145	3.312100901
146	3.304266379
147	3.285910162
148	3.262889239
149	3.25462147
150	3.242789974
151	3.230289053
152	3.211754004
153	3.202244609
154	3.186788285
155	3.178835959
156	3.167747707
157	3.156079796
158	3.144174629
159	3.133627291
160	3.125381333
161	3.116338651
162	3.095865619
163	3.079562752
164	3.066042572
165	3.051802526
166	3.046313557
167	3.041181812
168	3.034618585
169	3.026609598
170	3.019492522
171	3.014419184
172	3.007674009
173	2.997351076
174	2.984194804
175	2.970833399
176	2.960407627
177	2.946865011
178	2.934457335
179	2.91998888
180	2.912514903
181	2.90426409
182	2.898249195
183	2.892071388
184	2.886083659
185	2.878612007
186	2.872184225
187	2.862383047
188	2.853640066
189	2.839380274
190	2.830983905
191	2.82568845
192	2.821568807
193	2.80977125
194	2.805161155
195	2.800487786
196	2.795260886
197	2.789459842
198	2.785171235
199	2.776774618
200	2.77301188
201	2.759207026
202	2.748614562
203	2.741295604
204	2.737737787
205	2.734900753
206	2.726848358
207	2.720874806
208	2.716274666
209	2.710298729
210	2.701452857
211	2.693087336
212	2.685586299
213	2.674759636
214	2.665492931
215	2.660333362
216	2.64924204
217	2.640846093
218	2.632444526
219	2.624383249
220	2.615607553
221	2.611070834
222	2.607415636
223	2.602165185
224	2.596596491
225	2.591530885
226	2.585938205
227	2.578494662
228	2.573363529
229	2.569546646
230	2.56134071
231	2.553869593
232	2.550815335
233	2.541718555
234	2.532115959
235	2.527046544
236	2.522106917
237	2.515900443
238	2.507419488
239	2.501259844
240	2.498665757
241	2.490985903
242	2.482381473
243	2.478915591
244	2.476647021
245	2.47111648
246	2.46333434
247	2.455264741
248	2.449256875
249	2.446668267
250	2.443069913
251	2.436033655
252	2.435679287
253	2.432015093
254	2.427969649
255	2.421898085
256	2.411041452
257	2.409342348
258	2.404765675
259	2.402482873
260	2.39407351
261	2.389485261
262	2.388100045
263	2.383316009
264	2.377361676
265	2.375120659
266	2.367797768
267	2.36225323
268	2.355436694
269	2.351392451
270	2.348461003
271	2.344503877
272	2.34049962
273	2.337075976
274	2.333507101
275	2.328005238
276	2.322857412
277	2.319467608
278	2.31433522
279	2.305596459
280	2.30037885
281	2.297436466
282	2.291759728
283	2.283711504
284	2.280493735
285	2.275197072
286	2.272108562
287	2.268485358
288	2.265421447
289	2.262547196
290	2.259591238
291	2.25482239
292	2.252779642
293	2.248259865
294	2.244746164
295	2.240788663
296	2.236448196
297	2.22956535
298	2.225802632
299	2.22314598
300	2.219575185
301	2.215355876
302	2.213202038
303	2.21010124
304	2.20866373
305	2.205999274
306	2.204036645
307	2.201125711
308	2.194940547
309	2.190899855
310	2.188648678
311	2.184292295
312	2.182022496
313	2.179459882
314	2.175693356
315	2.171144864
316	2.166758455
317	2.164791429
318	2.163329644
319	2.159942167
320	2.15795476
321	2.153042719
322	2.150744635
323	2.147129856
324	2.145328506
325	2.141164268
326	2.136845142
327	2.134058233
328	2.129911699
329	2.127450381
330	2.125998188
331	2.123397862
332	2.120189601
333	2.116160456
334	2.113277828
335	2.106746131
336	2.103512204
337	2.10337902
338	2.103036741
339	2.100274596
340	2.096758074
341	2.093486545
342	2.089796522
343	2.086417447
344	2.085171821
345	2.081687154
346	2.076280386
347	2.074314071
348	2.068870738
349	2.061763682
350	2.058360758
351	2.056735968
352	2.054662018
353	2.052324227
354	2.049499772
355	2.047052939
356	2.041712221
357	2.03586317
358	2.033551566
359	2.030527646
360	2.026754535
361	2.023312627
362	2.021624623
363	2.018049189
364	2.014991855
365	2.011677969
366	2.006498169
367	2.00001755
368	1.998087511
369	1.997205291
370	1.99432343
371	1.993274108
372	1.989580968
373	1.987035302
374	1.984714709
375	1.980037405
376	1.978164839
377	1.974727422
378	1.972127535
379	1.965559912
380	1.965313517
381	1.962760881
382	1.960637744
383	1.959594077
384	1.957149543
385	1.954844917
386	1.952549733
387	1.951953035
388	1.95009514
389	1.944486761
390	1.939262439
391	1.937186573
392	1.933120359
393	1.931735601
394	1.929437889
395	1.925618379
396	1.925396114
397	1.922934335
398	1.92073656
399	1.920527186
400	1.920316506
401	1.915219947
402	1.913122766
403	1.911450335
404	1.907126235
405	1.90533828
406	1.899881779
407	1.898456304
408	1.896535209
409	1.893360914
410	1.89019368
411	1.889996745
412	1.887758566
413	1.885368895
414	1.883739627
415	1.882168616
416	1.879093472
417	1.877976893
418	1.875594948
419	1.872636221
420	1.867676626
421	1.86675466
422	1.861135377
423	1.859760201
424	1.858516788
425	1.852883513
426	1.852378461
427	1.85189035
428	1.850834097
429	1.847135495
430	1.846016223
431	1.841984204
432	1.839980744
433	1.839810473
434	1.837763746
435	1.834810011
436	1.834642485
437	1.83234898
438	1.827347427
439	1.82608523
440	1.823687848
441	1.822286052
442	1.822164621
443	1.819493992
444	1.817642614
445	1.817487045
446	1.814689166
447	1.812903482
448	1.811712962
449	1.809286569
450	1.808913493
451	1.808762797
452	1.805620146
453	1.805467966
454	1.80384625
455	1.803696596
456	1.803549576
457	1.803405054
458	1.803195992
459	1.801130734
460	1.800990556
461	1.798421915
462	1.796856429
463	1.795591986
464	1.794368657
465	1.790609072
466	1.789395073
467	1.78825202
468	1.785719161
469	1.782163759
470	1.780225634
471	1.776307366
472	1.776118256
473	1.775147682
474	1.77447456
475	1.77088996
476	1.768772187
477	1.768276482
478	1.767159887
479	1.764299738
480	1.763224551
481	1.759791816
482	1.759609398
483	1.755074153
484	1.75232008
485	1.752194216
486	1.752025581
487	1.750370974
488	1.749322027
489	1.746728471
490	1.743568252
491	1.742561196
492	1.739496107
493	1.735286016
494	1.734233511
495	1.734149837
496	1.733685598
497	1.732826772
498	1.732142614
499	1.731388676
