iter	Passed	Remaining
0	178	89041
1	204	50881
2	232	38459
3	254	31563
4	275	27265
5	301	24834
6	326	23008
7	351	21646
8	377	20583
9	401	19697
10	427	18994
11	447	18194
12	473	17726
13	500	17365
14	524	16959
15	552	16725
16	577	16418
17	603	16159
18	628	15905
19	653	15689
20	683	15591
21	709	15413
22	731	15164
23	758	15052
24	783	14891
25	810	14774
26	838	14685
27	863	14547
28	891	14479
29	921	14439
30	938	14197
31	964	14101
32	991	14025
33	1017	13944
34	1046	13906
35	1074	13852
36	1101	13779
37	1126	13694
38	1147	13565
39	1173	13489
40	1198	13415
41	1222	13335
42	1250	13291
43	1277	13236
44	1303	13178
45	1329	13119
46	1355	13066
47	1381	13006
48	1406	12942
49	1431	12881
50	1455	12817
51	1480	12758
52	1506	12703
53	1532	12658
54	1559	12621
55	1585	12574
56	1610	12515
57	1637	12476
58	1661	12415
59	1687	12371
60	1712	12324
61	1736	12267
62	1762	12222
63	1787	12178
64	1812	12129
65	1837	12086
66	1863	12042
67	1888	11999
68	1914	11957
69	1938	11910
70	1965	11876
71	1990	11831
72	2017	11799
73	2047	11786
74	2072	11746
75	2098	11709
76	2123	11663
77	2147	11618
78	2172	11577
79	2198	11542
80	2223	11501
81	2251	11475
82	2277	11444
83	2302	11402
84	2327	11364
85	2353	11329
86	2377	11287
87	2403	11251
88	2428	11214
89	2453	11177
90	2478	11141
91	2503	11101
92	2529	11068
93	2553	11030
94	2579	10994
95	2603	10955
96	2628	10921
97	2653	10884
98	2678	10848
99	2703	10812
100	2728	10778
101	2753	10742
102	2778	10709
103	2802	10672
104	2827	10637
105	2853	10605
106	2878	10571
107	2903	10537
108	2929	10507
109	2953	10471
110	2978	10438
111	3016	10449
112	3054	10459
113	3081	10432
114	3105	10396
115	3131	10365
116	3154	10326
117	3180	10296
118	3205	10262
119	3231	10233
120	3256	10198
121	3281	10165
122	3306	10133
123	3330	10099
124	3357	10072
125	3382	10039
126	3407	10009
127	3433	9979
128	3459	9948
129	3483	9915
130	3509	9886
131	3534	9852
132	3559	9823
133	3584	9790
134	3611	9764
135	3638	9737
136	3663	9705
137	3703	9715
138	3739	9713
139	3778	9715
140	3807	9694
141	3832	9661
142	3856	9628
143	3881	9595
144	3907	9566
145	3932	9534
146	3958	9506
147	3984	9475
148	4010	9447
149	4039	9424
150	4063	9392
151	4088	9361
152	4112	9328
153	4138	9297
154	4163	9266
155	4188	9235
156	4213	9205
157	4238	9173
158	4262	9141
159	4286	9109
160	4310	9077
161	4336	9046
162	4363	9020
163	4391	8996
164	4416	8966
165	4441	8936
166	4465	8904
167	4491	8876
168	4517	8848
169	4543	8819
170	4568	8789
171	4593	8759
172	4620	8733
173	4645	8704
174	4671	8675
175	4699	8650
176	4724	8621
177	4750	8593
178	4775	8563
179	4802	8537
180	4827	8507
181	4852	8478
182	4877	8449
183	4902	8420
184	4928	8391
185	4956	8366
186	4982	8339
187	5006	8309
188	5039	8291
189	5064	8263
190	5089	8234
191	5113	8203
192	5139	8174
193	5164	8146
194	5190	8117
195	5215	8089
196	5241	8061
197	5266	8032
198	5291	8003
199	5320	7980
200	5347	7954
201	5376	7932
202	5404	7906
203	5427	7875
204	5452	7846
205	5478	7818
206	5504	7790
207	5529	7762
208	5553	7733
209	5578	7704
210	5603	7675
211	5629	7647
212	5654	7618
213	5683	7596
214	5709	7567
215	5734	7540
216	5759	7511
217	5784	7483
