iter	RMSE
0	9.433487838
1	6.811243346
2	5.620087479
3	4.993912336
4	4.605967339
5	4.404874807
6	4.265196465
7	4.181072011
8	4.117799589
9	4.046621755
10	3.965302625
11	3.921716625
12	3.887394818
13	3.813722698
14	3.734035331
15	3.645701115
16	3.60261292
17	3.512038695
18	3.481793989
19	3.422696665
20	3.385685966
21	3.360041106
22	3.340513149
23	3.294242331
24	3.271638077
25	3.221943515
26	3.186446701
27	3.152095457
28	3.123471996
29	3.097519965
30	3.078622441
31	3.052372949
32	3.033647942
33	3.005816149
34	2.994612189
35	2.968588995
36	2.916268936
37	2.895135489
38	2.857890243
39	2.851654587
40	2.839238851
41	2.821116446
42	2.796523054
43	2.787238484
44	2.750397146
45	2.716518766
46	2.693486744
47	2.6756325
48	2.651252844
49	2.640811121
50	2.617432089
51	2.612851373
52	2.595785893
53	2.583297997
54	2.564679802
55	2.54926005
56	2.540714878
57	2.536852855
58	2.515656851
59	2.490346128
60	2.485640466
61	2.473821464
62	2.458731482
63	2.451368834
64	2.437959074
65	2.43006862
66	2.423892642
67	2.415951854
68	2.405510746
69	2.402235235
70	2.392133696
71	2.382474076
72	2.366981898
73	2.345140925
74	2.335216295
75	2.321799833
76	2.312922869
77	2.300477605
78	2.293145509
79	2.287447284
80	2.285683418
81	2.266301191
82	2.261641321
83	2.259147802
84	2.249038793
