iter	Passed	Remaining
0	135	11352
1	150	6239
2	167	4570
3	185	3763
4	203	3249
5	221	2916
6	238	2659
7	256	2464
8	273	2309
9	290	2182
10	308	2074
11	325	1982
12	343	1900
13	360	1825
14	377	1760
15	394	1701
16	412	1650
17	431	1604
18	448	1559
19	466	1516
20	485	1480
21	504	1445
22	524	1413
23	542	1379
24	560	1345
25	578	1312
26	595	1279
27	612	1247
28	630	1216
29	647	1186
30	664	1157
31	681	1129
32	699	1101
33	716	1074
34	733	1047
35	750	1021
36	767	996
37	784	970
38	803	947
39	820	922
40	839	900
41	857	877
42	876	856
43	895	834
44	913	811
45	930	788
46	948	766
47	966	744
48	983	722
49	1000	700
50	1018	678
51	1035	657
52	1052	635
53	1070	614
54	1087	593
55	1104	571
56	1121	550
57	1138	530
58	1155	509
59	1173	489
60	1191	468
61	1209	448
62	1229	429
63	1247	409
64	1266	389
65	1283	369
66	1300	349
67	1318	329
68	1336	309
69	1353	290
70	1370	270
71	1387	250
72	1404	230
73	1423	211
74	1441	192
75	1459	172
76	1476	153
77	1493	134
78	1510	114
79	1528	95
80	1546	76
81	1565	57
82	1584	38
83	1602	19
84	1620	0
